time,x,y,z,vx,vy,vz
0,6.771e+06,0,0,0,7672.6,0
500,4.59744e+06,3.8363e+06,0,-4347.13,7672.6,0
1000,289877,5.8919e+06,0,-8615.12,4111.2,0
1500,-4.1584e+06,5.08733e+06,0,-8896.56,-1609.15,0
2000,-7.14591e+06,2.49566e+06,0,-5975.01,-5183.32,0
2500,-8.49135e+06,-669479,0,-2690.88,-6330.29,0
3000,-8.46752e+06,-3.72667e+06,0,47.6523,-6114.37,0
3500,-7.37802e+06,-6.31484e+06,0,2178.99,-5176.34,0
4000,-5.48581e+06,-8.21596e+06,0,3784.43,-3802.25,0
4500,-3.02661e+06,-9.26793e+06,0,4918.4,-2103.94,0
5000,-241966,-9.32335e+06,0,5569.28,-110.836,0
5500,2.5724e+06,-8.23353e+06,0,5628.73,2179.64,0
6000,4.98738e+06,-5.86541e+06,0,4829.97,4736.24,0
6500,6.31338e+06,-2.21659e+06,0,2652,7297.63,0
7000,5.53934e+06,2.16954e+06,0,-1548.09,8772.26,0
7500,2.14353e+06,5.52883e+06,0,-6791.61,6718.58,0
8000,-2.27671e+06,6.24578e+06,0,-8840.49,1433.91,0
8500,-5.92471e+06,4.84423e+06,0,-7296.01,-2803.12,0
9000,-8.25553e+06,2.3657e+06,0,-4661.64,-4957.05,0
9500,-9.28745e+06,-485039,0,-2063.84,-5701.48,0
10000,-9.16881e+06,-3.27569e+06,0,237.288,-5581.3,0
10500,-8.06025e+06,-5.71268e+06,0,2217.12,-4873.98,0
11000,-6.11871e+06,-7.55929e+06,0,3883.08,-3693.23,0
11500,-3.5143e+06,-8.58698e+06,0,5208.82,-2055.36,0
12000,-471446,-8.54334e+06,0,6085.71,87.2622,0
12500,2.64641e+06,-7.14064e+06,0,6235.7,2805.4,0
13000,5.16711e+06,-4.12671e+06,0,5041.42,6027.88,0
13500,5.90719e+06,309334,0,1480.14,8872.08,0
14000,3.80324e+06,4.59644e+06,0,-4207.89,8574.22,0
14500,-85568.2,6.72644e+06,0,-7777.61,4260,0
15000,-3.94636e+06,6.65452e+06,0,-7721.59,-143.838,0
15500,-6.95796e+06,5.15066e+06,0,-6023.2,-3007.74,0
16000,-8.90083e+06,2.85566e+06,0,-3885.74,-4590,0
16500,-9.7578e+06,212264,0,-1713.92,-5286.78,0
17000,-9.56892e+06,-2.45388e+06,0,377.759,-5332.28,0
17500,-8.39089e+06,-4.86636e+06,0,2356.05,-4824.97,0
18000,-6.29668e+06,-6.7475e+06,0,4188.42,-3762.27,0
18500,-3.40428e+06,-7.7733e+06,0,5784.8,-2051.6,0
19000,43231.3,-7.53155e+06,0,6895.03,483.495,0
19500,3.48066e+06,-5.53314e+06,0,6874.86,3996.82,0
20000,5.67636e+06,-1.56077e+06,0,4391.39,7944.75,0
20500,5.09962e+06,3.17391e+06,0,-1153.47,9469.36,0
21000,2.17801e+06,6.44919e+06,0,-5843.21,6550.55,0
21500,-1.43171e+06,7.68692e+06,0,-7219.45,2475.45,0
22000,-4.74299e+06,7.32229e+06,0,-6622.56,-729.253,0
22500,-7.34248e+06,5.85879e+06,0,-5198.99,-2926.99,0
23000,-9.05922e+06,3.69092e+06,0,-3433.47,-4335.75,0
23500,-9.81157e+06,1.13013e+06,0,-1504.69,-5121.57,0
24000,-9.54903e+06,-1.54755e+06,0,525.068,-5355.37,0
24500,-8.23534e+06,-4.05488e+06,0,2627.39,-5014.66,0
25000,-5.86067e+06,-6.03981e+06,0,4749.34,-3969.86,0
25500,-2.50621e+06,-7.01501e+06,0,6708.91,-1950.4,0
26000,1.45241e+06,-6.29912e+06,0,7917.24,1431.78,0
26500,4.87525e+06,-3.25957e+06,0,6845.69,6079.11,0
27000,5.88945e+06,1.3904e+06,0,2028.4,9299.93,0
27500,4.25517e+06,5.4151e+06,0,-3268.55,8049.41,0
28000,1.32277e+06,7.78782e+06,0,-5864.81,4745.43,0
28500,-1.87705e+06,8.58612e+06,0,-6399.64,1596.6,0
29000,-4.80135e+06,8.12413e+06,0,-5848.6,-923.981,0
29500,-7.15633e+06,6.69881e+06,0,-4709.96,-2850.62,0
30000,-8.75419e+06,4.56478e+06,0,-3195.7,-4268.07,0
30500,-9.44554e+06,1.95806e+06,0,-1382.7,-5213.44,0
31000,-9.08828e+06,-866038,0,714.518,-5648.19,0
31500,-7.5408e+06,-3.57672e+06,0,3094.95,-5421.36,0
32000,-4.70077e+06,-5.67431e+06,0,5680.08,-4195.19,0
32500,-689864,-6.35856e+06,0,8021.8,-1368.49,0
33000,3.58379e+06,-4.62101e+06,0,8547.3,3475.1,0
33500,6.07163e+06,-580805,0,4975.7,8080.4,0
34000,5.89304e+06,3.71446e+06,0,-357.193,8590.54,0
34500,3.97717e+06,6.91471e+06,0,-3831.73,6400.49,0
35000,1.2805e+06,8.75743e+06,0,-5393.36,3685.45,0
35500,-1.60024e+06,9.3414e+06,0,-5761.46,1167.93,0
36000,-4.29365e+06,8.83188e+06,0,-5386.82,-1019.04,0
36500,-6.53527e+06,7.39304e+06,0,-4483.25,-2877.67,0
37000,-8.09906e+06,5.1874e+06,0,-3127.57,-4411.28,0
37500,-8.75571e+06,2.40075e+06,0,-1313.3,-5573.31,0
38000,-8.24643e+06,-705597,0,1018.56,-6212.69,0
